"ADM3_PCODE","ADM3_EN","ADM2_EN","ADM1_EN","est","lower","upper","pop_u5","n_stunted","cum_share"
"MG12116150","Miandrarivo","Faratsiho","Vakinankaratra",0.456781685140818,0.385410313125682,0.533613529437081,6140.51318359375,2804.87395963136,0.273109517365102
"MG25213190","Amporoforo","Farafangana","Atsimo Atsinanana",0.471887172830081,0.380634249700179,0.561612385667183,5917.51513671875,2792.39948804542,0.274755142463058
"MG23210352","Vohimasina Sud","Manakara Atsimo","Fitovinany",0.41615331856909,0.313864421835905,0.51952171186163,6704.43603515625,2790.07330516446,0.276399396688061
"MG54508059","Bemanonga","Morondava","Menabe",0.360845514312243,0.273592460676646,0.45560151295609,7727.10107421875,2788.28976126915,0.278042599829718
"MG11102379","Talata Volonondry","Antananarivo Avaradrano","Analamanga",0.529621232440441,0.433816462592179,0.630125615642035,5253.4013671875,2782.31290659414,0.279682280673758
"MG53519030","Behara","Amboasary-Atsimo","Anosy",0.514231361330755,0.423448270471856,0.604353725361326,5406.96630859375,2780.43164553769,0.281320852847488
"MG23209391","Ambodinonoka","Mananjary","Vatovavy",0.449057637821774,0.358892692640703,0.556977016391507,6190.3916015625,2779.84262978941,0.28295907790072
"MG51507150","Ejeda","Ampanihy Ouest","Atsimo Andrefana",0.30042074859476,0.218110887919379,0.393484909141352,9125.83984375,2741.59163741527,0.284574760766366
"MG11117170","Andoharanofotsy","Antananarivo Atsimondrano","Analamanga",0.599375246171151,0.508683214748499,0.669980178790323,4570.658203125,2739.53938566224,0.28618923419296
"MG33316011","Andilamena","Andilamena","Alaotra Mangoro",0.473521212155598,0.365115065434481,0.589554601741573,5749.05126953125,2722.29772589311,0.287793546713793
"MG12116130","Ambohiborona","Faratsiho","Vakinankaratra",0.622501902611834,0.527660628285268,0.713690757624364,4363.6318359375,2716.36912016867,0.289394365371223
